rank,code,name,market,mktcap,close,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,stop,risk_pct,bbw_pct,adx,setup,ma20,ma60,dryup_count,rebreakout,trigger_score,liq_score,vol_score,momentum_score,news_score,news_summary,foreign_consec_buy,foreign_net_5d,inst_net_5d,keywords,news_count,scan_date,chunk
58,095610,테스,KOSDAQ,1002249058200,50700.0,25.0,0.0,0.0,0.0,10.0,35.0,48900.0,3.5502958579881656,57.983193277310924,64.90909932884233,-,47977.5,43623.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
59,035420,NAVER,KOSPI,38507322629000,245500.0,11.0,5.0,8.0,0.0,10.0,34.0,243500.0,0.8146639511201629,5.042016806722689,38.27882576908526,-,245550.0,249890.0,0,False,5.0,8.0,8.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
60,445680,큐리옥스바이오시스템즈,KOSDAQ,1831822131000,107000.0,24.0,0.0,5.0,0.0,5.0,34.0,92400.0,13.644859813084112,49.57983193277311,39.54621417587182,-,105935.0,92860.0,3,False,0.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
61,067310,하나마이크론,KOSDAQ,1855269320450,27950.0,25.0,0.0,0.0,0.0,9.0,34.0,26000.0,6.976744186046512,36.97478991596638,48.78670623299393,-,26332.5,25602.0,0,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
62,006730,서부T&D,KOSDAQ,892095922020,13740.0,24.0,0.0,5.0,0.0,5.0,34.0,11790.0,14.192139737991265,77.3109243697479,30.700753648482014,-,12765.5,11775.4,3,False,0.0,5.0,5.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
63,001440,대한전선,KOSPI,4801017975000,25750.0,25.0,0.0,0.0,0.0,9.0,34.0,23850.0,7.3786407766990285,41.1764705882353,40.25041967715489,-,24482.5,23936.0,1,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
64,064760,티씨케이,KOSDAQ GLOBAL,1888203362400,168900.0,24.0,5.0,0.0,0.0,5.0,34.0,148600.0,12.01894612196566,21.008403361344538,36.53051886255165,-,152400.0,151952.0,0,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
65,015760,한국전력,KOSPI,35115435011900,54700.0,24.0,5.0,0.0,0.0,5.0,34.0,47000.0,14.076782449725778,24.369747899159663,34.021771807399666,-,50050.0,49616.0,1,False,5.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
66,232140,와이씨,KOSDAQ,1233962064000,15040.0,24.0,0.0,0.0,0.0,10.0,34.0,14740.0,1.9946808510638299,55.46218487394958,39.71617504332017,-,14889.0,14089.0,2,False,0.0,0.0,0.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
67,039200,오스코텍,KOSDAQ,1681446835200,43950.0,12.0,0.0,12.0,0.0,10.0,34.0,42250.0,3.8680318543799777,65.54621848739495,44.936572694416036,-,45707.5,51165.0,5,False,0.0,12.0,12.0,0,0,,0,0,0,,0,2026-01-18 04:36,1
